11.2863	6.65823
10.1699	7.25814
9.16178	8.17168
8.17341	9.13372
7.415	10.231
7.20088	11.0819
6.75024	11.9057
6.42182	13.1018
6.262	14.0363
6.07645	15.0051
6.13241	15.9994
6.2346	16.9825
6.25009	17.9495
6.66688	19.0968
6.94969	20.0199
7.40948	20.7646
8.13709	21.8915
8.97855	23.0255
10.0074	23.9866
10.8261	24.4734
11.8772	24.5897
13.012	24.8303
13.9869	24.7206
15.1106	24.5253
16.0861	24.2238
16.8806	23.7776
17.9588	22.9448
19.0538	22.0529
19.9638	20.9739
20.7226	19.8556
21.217	19.0861
21.4756	18.1351
21.856	16.9762
22.2257	16.0193
22.149	14.9995
22.3616	13.9749
22.1209	12.9795
21.6591	11.8107
21.4245	10.8385
20.9608	10.0195
20.0944	8.92877
19.4974	8.42251
18.5783	7.54613
17.8953	7.16911
17.1578	6.63512
15.9076	6.36341
15.0034	5.96588
13.9972	5.96994
13.0361	6.19372
12.1179	6.39244
