274.696	145.853	
316.464	153.288	
357.264	160.694	
397.104	167.987	
435.981	175.202	
473.827	182.262	
510.682	189.265	
546.488	196.043	
581.348	202.666	
615.331	209.193	
648.328	215.535	
270.715	187.135	
312.921	194.162	
354.173	201.096	
394.396	207.973	
433.712	214.748	
471.946	221.303	
509.133	227.887	
545.341	234.256	
580.485	240.406	
614.75	246.497	
648.015	252.432	
266.836	229.173	
309.427	235.777	
351.056	242.29	
391.735	248.707	
431.367	254.996	
470.006	261.168	
507.562	267.178	
544.097	273.065	
579.561	278.823	
614.09	284.407	
647.616	289.874	
262.885	271.981	
305.927	278.162	
347.987	284.184	
388.996	290.122	
429.023	295.917	
468.012	301.632	
505.922	307.209	
542.749	312.568	
578.546	317.778	
613.348	322.946	
647.094	327.87	
259.055	315.52	
302.474	321.242	
344.921	326.835	
386.311	332.309	
426.695	337.605	
466.023	342.761	
504.238	347.815	
541.388	352.721	
577.51	357.44	
612.498	362.036	
646.502	366.471	
255.265	359.82	
299.072	365.036	
341.897	370.118	
383.655	375.089	
424.343	379.864	
463.943	384.502	
502.512	389.017	
539.977	393.379	
576.308	397.588	
611.568	401.609	
645.789	405.501	
251.546	404.744	
295.707	409.48	
338.861	414.031	
380.958	418.441	
421.979	422.745	
461.929	426.839	
500.76	430.782	
538.43	434.583	
575.022	438.179	
610.552	441.717	
644.971	445.098	
247.864	450.288	
292.365	454.514	
335.869	458.56	
378.29	462.402	
419.612	466.111	
459.803	469.671	
498.895	473.049	
536.803	476.22	
573.666	479.345	
609.357	482.29	
644.014	485.08	
244.287	496.439	
289.109	500.084	
332.875	503.558	
375.582	506.869	
417.165	509.981	
457.612	512.939	
496.951	515.745	
535.119	518.372	
572.159	520.886	
608.088	523.225	
642.953	525.444	
